Generation 11,1019.995924,893.389764,,Generation 11,1056.136512,941.2835841,,Generation 11,1045.724605,909.5500813,,Generation 11,1071.894559,956.30175,,Generation 11,1092.278354,964.2536317,,Generation 11,1022.783722,878.5710871,,Generation 11,1085.408988,970.3357676,,Generation 11,1070.529553,917.3775167,,Generation 11,1036.46459,914.199605,,Generation 11,1030.549727,932.6064842
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 12,970.9840929,842.4248469,,Generation 12,1004.533798,897.0600011,,Generation 12,1007.038164,905.9773437,,Generation 12,1020.906376,891.1172393,,Generation 12,1040.12824,910.2925534,,Generation 12,977.3878155,864.0619126,,Generation 12,1042.73626,963.9224065,,Generation 12,1022.097837,900.9826915,,Generation 12,997.1284832,861.5126384,,Generation 12,986.125474,856.1700265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 13,915.257259,818.7275991,,Generation 13,960.7655522,872.1352139,,Generation 13,959.3060712,821.9042351,,Generation 13,967.0347066,847.7380792,,Generation 13,999.1141564,915.4421972,,Generation 13,935.6704319,844.6934008,,Generation 13,1014.007181,931.928332,,Generation 13,955.865847,862.9190732,,Generation 13,941.0912591,822.4512824,,Generation 13,934.9328859,830.7840229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 14,867.4980856,771.6695927,,Generation 14,925.9504196,817.6369916,,Generation 14,923.1936645,834.2810073,,Generation 14,935.7857876,842.1495928,,Generation 14,957.6478263,887.1017006,,Generation 14,894.5252041,810.358768,,Generation 14,978.4588085,902.2903133,,Generation 14,911.1647682,804.9221472,,Generation 14,891.4366596,810.0558603,,Generation 14,897.765138,827.8781412
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 15,832.1646555,746.2974297,,Generation 15,883.7223099,768.6258063,,Generation 15,881.6745255,773.797898,,Generation 15,900.4416448,803.4882998,,Generation 15,929.9594682,856.4851343,,Generation 15,861.765092,769.021237,,Generation 15,945.865588,855.5729549,,Generation 15,865.2725011,772.3181517,,Generation 15,857.3098637,760.6398001,,Generation 15,862.4067714,747.8093522
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 16,794.1224085,705.2610703,,Generation 16,849.1077531,752.841643,,Generation 16,849.0512707,757.6708516,,Generation 16,858.5753796,764.8876343,,Generation 16,892.484693,811.2124356,,Generation 16,821.8097809,731.9807092,,Generation 16,912.1312931,820.4630257,,Generation 16,825.0496527,755.8145865,,Generation 16,818.8333898,738.150022,,Generation 16,829.1023549,734.0399827
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 17,764.1230645,676.0644011,,Generation 17,816.8133995,722.9595192,,Generation 17,816.6762442,735.5094402,,Generation 17,814.2005143,718.1869826,,Generation 17,859.6027087,783.4468666,,Generation 17,785.9528929,696.0110396,,Generation 17,878.3266219,809.0098351,,Generation 17,793.6719054,707.5687089,,Generation 17,786.6730193,702.327582,,Generation 17,801.8218743,735.2183026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 18,728.2855703,659.9326314,,Generation 18,791.7415972,720.3977408,,Generation 18,781.2413548,695.0471785,,Generation 18,771.494603,676.3119497,,Generation 18,824.1765069,746.3096434,,Generation 18,756.5940111,648.6177656,,Generation 18,846.7474771,777.7233034,,Generation 18,761.3046761,689.37452,,Generation 18,759.0747136,681.1847415,,Generation 18,773.1555165,665.7970913
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 19,708.4195023,640.8716374,,Generation 19,767.4957338,693.2796416,,Generation 19,753.841006,640.6193227,,Generation 19,743.0448669,672.9279592,,Generation 19,798.2953062,730.4798363,,Generation 19,721.7778855,654.9682369,,Generation 19,819.7344035,745.5495113,,Generation 19,732.4043856,659.4953445,,Generation 19,734.4279671,680.4262769,,Generation 19,746.557831,633.0947415
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 20,683.2873632,629.2088355,,Generation 20,737.330079,677.3312156,,Generation 20,718.3829244,618.6077185,,Generation 20,720.5698975,650.3899336,,Generation 20,776.9809013,707.2913929,,Generation 20,691.3340671,611.0471814,,Generation 20,793.3573659,740.068697,,Generation 20,712.3308321,628.636727,,Generation 20,712.7354525,668.356197,,Generation 20,715.1128522,617.1124208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 21,667.7566256,590.8894747,,Generation 21,710.1574441,645.4448509,,Generation 21,681.1518688,606.5247431,,Generation 21,688.7067291,617.8236505,,Generation 21,756.6586343,709.5401514,,Generation 21,669.3815801,598.7729856,,Generation 21,776.8987089,723.8390408,,Generation 21,685.8927046,597.8328755,,Generation 21,696.7541932,641.2660277,,Generation 21,682.612752,605.8319024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 22,649.0553311,598.8790883,,Generation 22,689.9032845,646.8691352,,Generation 22,660.7940528,604.6432254,,Generation 22,669.080003,620.2341189,,Generation 22,737.6166218,677.207204,,Generation 22,642.5924022,577.7016613,,Generation 22,754.8186968,697.673678,,Generation 22,660.8299905,601.1095162,,Generation 22,682.1876379,627.0790416,,Generation 22,667.1059636,569.7583423
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 23,635.0544578,569.2974368,,Generation 23,672.2854177,617.1675355,,Generation 23,646.3078052,581.0306733,,Generation 23,654.4817873,611.8994449,,Generation 23,724.1983351,656.5010531,,Generation 23,622.7321536,561.5621096,,Generation 23,733.9201973,682.2560489,,Generation 23,646.8532461,591.6538505,,Generation 23,667.5975973,608.7999385,,Generation 23,636.227492,570.9020506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 24,614.6012011,569.1241608,,Generation 24,662.0047933,595.3132172,,Generation 24,624.9469541,586.9345674,,Generation 24,641.9175921,576.9838544,,Generation 24,704.0061945,652.5548785,,Generation 24,610.2137654,569.5368801,,Generation 24,712.4367645,679.4049869,,Generation 24,637.268099,594.9972329,,Generation 24,652.9595798,592.7963027,,Generation 24,614.7931092,552.1808972
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 25,602.9540162,564.982537,,Generation 25,647.037198,590.6792389,,Generation 25,610.6865154,569.1007718,,Generation 25,627.8540823,581.0047252,,Generation 25,684.1804738,596.3130465,,Generation 25,598.4785629,547.6627327,,Generation 25,699.6561379,644.6946817,,Generation 25,623.8963371,571.260756,,Generation 25,627.9256511,549.4514603,,Generation 25,590.2362134,520.8486423
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 26,593.2321644,557.3939809,,Generation 26,624.9079962,557.6335282,,Generation 26,598.5658599,549.6422205,,Generation 26,614.5782769,574.6408634,,Generation 26,666.5178569,587.4162921,,Generation 26,584.4959078,524.4002449,,Generation 26,686.6814479,629.9252037,,Generation 26,611.7943584,565.414844,,Generation 26,607.1677753,540.1421884,,Generation 26,570.3461058,505.5040114
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 27,574.8908515,542.5103823,,Generation 27,610.3770421,564.7016836,,Generation 27,587.3581869,535.6165281,,Generation 27,607.7819895,551.7739206,,Generation 27,648.4073261,604.4656176,,Generation 27,574.4561196,522.3754907,,Generation 27,670.5413838,615.3205797,,Generation 27,602.4157036,541.7932338,,Generation 27,587.7681798,538.444368,,Generation 27,560.2460167,504.7338213
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 28,562.5079185,532.9987652,,Generation 28,591.1241539,526.9034881,,Generation 28,576.681876,532.2897476,,Generation 28,595.0312213,544.7171221,,Generation 28,636.3439698,587.8316317,,Generation 28,564.3090153,508.3513634,,Generation 28,658.4332405,618.931101,,Generation 28,592.0477471,546.1995345,,Generation 28,569.3316393,516.3942993,,Generation 28,541.649926,498.6762339
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 29,554.0955858,525.3890815,,Generation 29,577.7701998,497.3575501,,Generation 29,564.6416687,522.0060513,,Generation 29,579.1672173,540.1840646,,Generation 29,623.2680576,585.9050086,,Generation 29,547.3499081,501.7755482,,Generation 29,646.19192,600.4301368,,Generation 29,577.1380046,515.5770641,,Generation 29,555.1063448,493.2277811,,Generation 29,531.6650228,480.502944
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 30,546.03284,502.8968243,,Generation 30,556.1702005,502.5175563,,Generation 30,551.2617741,512.5129394,,Generation 30,569.3723108,527.950634,,Generation 30,613.6610377,574.3788292,,Generation 30,532.7596054,490.9158987,,Generation 30,629.9940128,588.2148869,,Generation 30,567.1273115,510.6603037,,Generation 30,541.8493706,486.0430066,,Generation 30,521.4192897,479.7867122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 31,530.725284,492.63798,,Generation 31,540.2949317,482.2569918,,Generation 31,541.734288,504.7867236,,Generation 31,557.5254185,510.2096896,,Generation 31,598.8537006,563.8157054,,Generation 31,523.8120907,488.2109849,,Generation 31,617.3637435,565.583509,,Generation 31,546.3952158,504.6354982,,Generation 31,532.8302495,485.8885797,,Generation 31,510.3335001,473.729267
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 32,524.4171499,481.9303585,,Generation 32,524.393378,480.1372763,,Generation 32,535.6302662,490.2046401,,Generation 32,542.4202748,495.2030042,,Generation 32,589.8820944,545.9033064,,Generation 32,519.3793484,482.4333439,,Generation 32,601.6409168,549.3654674,,Generation 32,534.0611159,500.3474174,,Generation 32,519.2041514,474.2329488,,Generation 32,505.8279998,453.1831633
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 33,509.9019846,460.6789434,,Generation 33,511.773471,471.466923,,Generation 33,531.5368569,485.8002244,,Generation 33,533.2426387,479.4374518,,Generation 33,582.2486605,541.7393196,,Generation 33,514.6608995,473.2710806,,Generation 33,590.3564119,536.170705,,Generation 33,528.4358879,493.6084284,,Generation 33,504.9513646,464.8501545,,Generation 33,493.6717573,452.2402699
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 34,498.0806252,453.1640907,,Generation 34,504.8066565,464.1341956,,Generation 34,519.1343627,482.5593751,,Generation 34,525.1825299,478.0436463,,Generation 34,574.6270937,529.3268911,,Generation 34,499.305927,454.4782635,,Generation 34,576.1171073,537.8594142,,Generation 34,521.1936397,491.1483478,,Generation 34,495.8038704,452.9483079,,Generation 34,484.8155725,450.3407447
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 35,485.2635535,446.0167897,,Generation 35,497.949326,457.3125579,,Generation 35,513.5317726,482.1400987,,Generation 35,519.9772201,478.0436463,,Generation 35,566.0866354,520.5508988,,Generation 35,494.6240197,442.7640341,,Generation 35,564.8590324,526.3984214,,Generation 35,519.7595761,481.9785051,,Generation 35,485.9718976,447.2244298,,Generation 35,474.6314459,445.5927985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 36,473.4948838,437.8670452,,Generation 36,487.3377092,441.1947544,,Generation 36,507.7158596,471.7058487,,Generation 36,509.077382,461.1320836,,Generation 36,553.5119898,513.6639827,,Generation 36,485.7630422,447.5682343,,Generation 36,557.8626078,523.6759455,,Generation 36,514.6179715,480.6045554,,Generation 36,475.650417,429.8115265,,Generation 36,464.7113708,439.24919
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 37,467.1295071,433.837753,,Generation 37,478.2025852,436.02476,,Generation 37,505.1034961,470.83192,,Generation 37,501.1036027,446.5707649,,Generation 37,543.172729,501.7721793,,Generation 37,477.0731116,433.8073559,,Generation 37,548.0647095,509.444398,,Generation 37,505.3105141,466.634489,,Generation 37,470.0020006,424.6803052,,Generation 37,465.5013082,432.2196625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 38,458.1561928,422.7395261,,Generation 38,472.154135,425.434494,,Generation 38,494.5483733,453.9519808,,Generation 38,487.3245264,450.943272,,Generation 38,535.2783145,494.1713564,,Generation 38,468.6368884,433.8073559,,Generation 38,543.2132407,500.2249488,,Generation 38,498.970288,470.8330476,,Generation 38,461.6320662,424.0330724,,Generation 38,459.5641062,416.3638943
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 39,443.7202973,415.8714555,,Generation 39,459.3819302,420.2009482,,Generation 39,491.1109499,449.5990898,,Generation 39,477.3692434,425.5152146,,Generation 39,529.0305371,485.433761,,Generation 39,462.5165066,430.1002747,,Generation 39,528.8343948,492.5134248,,Generation 39,490.8611078,452.6465871,,Generation 39,452.5775112,411.9013018,,Generation 39,454.0299061,425.3994128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 40,436.450837,406.4797763,,Generation 40,457.0814853,417.4116371,,Generation 40,483.9388018,428.8582264,,Generation 40,467.4117598,415.2104365,,Generation 40,513.2962055,476.1995617,,Generation 40,453.9978594,415.7208683,,Generation 40,520.7265169,488.8194725,,Generation 40,484.1592302,455.3460271,,Generation 40,447.6686217,412.208052,,Generation 40,446.0550386,415.8044179
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 41,424.8655826,392.8169911,,Generation 41,446.2797554,396.9046798,,Generation 41,475.4513357,423.8429311,,Generation 41,457.2770165,411.991599,,Generation 41,502.1464879,460.4658386,,Generation 41,446.1457482,418.1999763,,Generation 41,514.0123139,485.7151183,,Generation 41,479.6000558,448.2418297,,Generation 41,436.3858973,410.5100181,,Generation 41,439.5990531,407.8621887
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 42,421.950912,392.813073,,Generation 42,438.894607,400.4182163,,Generation 42,465.8891018,421.1800763,,Generation 42,445.7751413,409.7900424,,Generation 42,496.4260837,449.6027307,,Generation 42,440.9348418,414.4525567,,Generation 42,509.5159855,483.5298666,,Generation 42,471.6340484,440.9220243,,Generation 42,433.3880193,408.8358077,,Generation 42,434.4122046,404.2746988
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 43,420.8902078,389.9708379,,Generation 43,426.7291857,383.2826241,,Generation 43,456.8399291,417.0283252,,Generation 43,435.5342748,392.6892834,,Generation 43,486.6878706,450.6066278,,Generation 43,433.707928,403.3015364,,Generation 43,502.6563307,470.2066316,,Generation 43,466.7110724,439.7953634,,Generation 43,428.02727,401.6906905,,Generation 43,432.4173436,397.0551278
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 44,407.3048426,385.5673528,,Generation 44,415.917943,382.8049514,,Generation 44,448.6786341,413.2762899,,Generation 44,427.5443856,389.8932635,,Generation 44,476.261114,443.2259113,,Generation 44,431.8396758,396.6575027,,Generation 44,500.056262,469.9798494,,Generation 44,467.4269548,433.6932899,,Generation 44,424.2797294,398.4114019,,Generation 44,425.5317969,388.7804733
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 45,401.3615506,374.5323526,,Generation 45,413.7610028,377.3683992,,Generation 45,442.3117751,403.1025522,,Generation 45,421.0878125,388.8738187,,Generation 45,476.3601673,434.1015359,,Generation 45,424.1634245,385.8202987,,Generation 45,497.4193317,449.6700536,,Generation 45,458.2800237,410.418323,,Generation 45,420.7118713,395.2351205,,Generation 45,417.9535514,376.0681154
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 46,393.9676177,368.8340046,,Generation 46,406.8677843,368.408523,,Generation 46,436.4958702,400.7944791,,Generation 46,415.4466224,367.2198032,,Generation 46,466.8892614,437.0267298,,Generation 46,420.9830383,386.2617045,,Generation 46,489.6959942,446.8190744,,Generation 46,453.1070329,407.5104696,,Generation 46,420.3676763,391.2679308,,Generation 46,415.1691966,367.9815885
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 47,389.7507381,363.3449327,,Generation 47,396.7400262,360.3716641,,Generation 47,427.4148875,404.714641,,Generation 47,406.4753149,349.5502175,,Generation 47,464.3967453,434.066461,,Generation 47,415.3408344,382.1971845,,Generation 47,480.6678964,443.9763444,,Generation 47,447.4667288,386.3054914,,Generation 47,417.017387,393.4554977,,Generation 47,406.5457198,368.8210402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 48,386.039665,363.4286699,,Generation 48,386.048596,350.5330735,,Generation 48,426.6202344,396.0473471,,Generation 48,395.2680757,347.1606163,,Generation 48,457.8826135,425.2755502,,Generation 48,407.3439824,378.0932387,,Generation 48,470.1638354,435.2502718,,Generation 48,436.5060673,394.8361313,,Generation 48,412.5829788,391.1594743,,Generation 48,398.9887526,353.742895
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 49,377.7873122,359.5064746,,Generation 49,382.8457814,350.8523314,,Generation 49,423.1116494,389.4005639,,Generation 49,385.0364757,334.2911508,,Generation 49,451.1730805,422.6598475,,Generation 49,401.5405075,375.0687357,,Generation 49,461.4772902,422.6550749,,Generation 49,429.1140467,387.0351857,,Generation 49,413.3035279,386.6302803,,Generation 49,386.858548,346.8128394
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 50,379.658876,354.2805576,,Generation 50,380.3633651,345.8317055,,Generation 50,417.299678,385.4718523,,Generation 50,374.6445427,332.857791,,Generation 50,446.5699634,416.2379982,,Generation 50,397.8898591,368.4282304,,Generation 50,453.1800194,420.1483642,,Generation 50,421.5054011,388.2800418,,Generation 50,411.5034845,383.4404727,,Generation 50,378.5788484,349.42474
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 51,378.7971155,349.2569122,,Generation 51,379.7009632,341.2958725,,Generation 51,412.325649,380.4891444,,Generation 51,367.5036327,331.0676766,,Generation 51,438.6457898,400.0091155,,Generation 51,395.5425648,364.4316054,,Generation 51,447.6280547,420.8394131,,Generation 51,413.8988738,377.6917819,,Generation 51,409.693714,378.5100568,,Generation 51,370.7984128,339.5518029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 52,376.0960699,351.9238806,,Generation 52,375.1894111,341.828611,,Generation 52,407.7835393,379.6039051,,Generation 52,356.6897537,329.1646683,,Generation 52,431.6732092,400.5782931,,Generation 52,392.3145757,357.1737814,,Generation 52,445.1737554,409.055316,,Generation 52,410.8372413,380.1900598,,Generation 52,405.9714762,362.8719744,,Generation 52,367.624819,334.7471682
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 53,368.1000542,348.6364935,,Generation 53,371.0684225,339.8240977,,Generation 53,399.1119049,376.7106225,,Generation 53,353.4914633,314.0975857,,Generation 53,426.5722048,394.1384205,,Generation 53,381.0641021,346.8586828,,Generation 53,438.0503697,407.1166025,,Generation 53,408.8078267,376.0542568,,Generation 53,404.9782098,365.605813,,Generation 53,361.7297429,332.1503634
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 54,365.2336603,344.6126641,,Generation 54,362.7904269,339.6132287,,Generation 54,398.1010509,366.9520255,,Generation 54,343.8728237,314.0975857,,Generation 54,419.3138442,390.0760685,,Generation 54,375.9521569,344.0220171,,Generation 54,429.7055908,385.8396366,,Generation 54,399.0607573,373.9833965,,Generation 54,400.2982645,354.6715539,,Generation 54,361.7516241,331.6350002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation 55,361.8400648,331.7309799,,Generation 55,362.4954679,328.3532517,,Generation 55,393.7295491,366.2554552,,Generation 55,339.841147,313.0950366,,Generation 55,415.9532891,386.9848995,,Generation 55,371.1054064,343.3781699,,Generation 55,424.0133124,383.6170727,,Generation 55,399.1781046,367.3560227,,Generation 55,391.6210454,349.0018826,,Generation 55,354.1631779,325.6298628
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
